Unnamed: 0,French,English
1,histoire,history
3,seulement,only
5,pensais,thought
6,aide,help
7,demande,request
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
17,ville,city
18,chaque,each
20,arrivé,come
24,heures,hours
25,vont,will
26,pendant,while
28,aucune,any
29,place,square
30,parle,speak
31,compris,understood
33,étaient,were
34,attention,Warning
35,voici,here is
36,pourrais,could
37,affaire,case
38,donner,give
39,type,type
41,donné,given
45,yeux,eyes
46,façon,way
47,écoute,listen
48,trouve,find
49,premier,first
50,perdu,lost
52,première,first
53,côté,side
55,vieux,old
56,sois,be
57,matin,morning
59,enfant,child
60,point,point
63,pardon,sorry
64,venez,come
67,minutes,minutes
69,chambre,bedroom
70,mis,placed
71,belle,beautiful
72,droit,law
73,aimerais,would like to
74,aujourd'hui,today
76,cause,cause
78,espère,hope
79,eau,water
80,attendez,Wait
82,nouvelle,new
83,boulot,job
84,arrêter,Stop
86,terre,Earth
89,loin,far
90,fin,end
91,croire,believe
92,chérie,sweetheart
93,gros,large
94,plutôt,rather
96,filles,girls
97,jouer,to play
